SampleName,Marker,Allele1,Allele2
ref1,D3S1358,16,16
ref1,TH01,9.3,9
ref1,D21S11,28,30
ref1,D18S51,16,16
ref1,D10S1248,13,14
ref1,D1S1656,17,12
ref1,D2S1338,20,18
ref1,D16S539,13,9
ref1,D22S1045,15,16
ref1,VWA,20,15
ref1,D8S1179,11,13
ref1,FGA,25,20
ref1,D2S441,15,11.3
ref1,D12S391,20,18
ref1,D19S433,16,14
ref1,SE33,21.2,28.2
ref2,D3S1358,15,14
ref2,TH01,9.3,9.3
ref2,D21S11,29,29
ref2,D18S51,16,12
ref2,D10S1248,14,13
ref2,D1S1656,15.3,17.3
ref2,D2S1338,20,20
ref2,D16S539,13,11
ref2,D22S1045,11,16
ref2,VWA,17,16
ref2,D8S1179,12,12
ref2,FGA,22,21
ref2,D2S441,10,11
ref2,D12S391,23,18
ref2,D19S433,13,13
ref2,SE33,14,18
ref3,D3S1358,17,16
ref3,TH01,7,6
ref3,D21S11,31,29
ref3,D18S51,19,17
ref3,D10S1248,13,12
ref3,D1S1656,17,17.3
ref3,D2S1338,20,20
ref3,D16S539,11,12
ref3,D22S1045,16,16
ref3,VWA,18,19
ref3,D8S1179,14,14
ref3,FGA,18,23
ref3,D2S441,12,11
ref3,D12S391,15,17
ref3,D19S433,14,15
ref3,SE33,31.2,14
